n_qubits,n_layers,family,sre_mean,sre_std
8,58,random,4.690787625052035,1.862414500563832
8,60,random,4.525645641399813,2.019531136494768
8,62,random,4.530953176718322,1.9945969028071955
8,64,random,4.505730426252953,2.111246358924825
8,66,random,4.708910065426358,1.983330164855689
8,68,random,4.732342423807298,1.926472161087669
8,70,random,4.804309037334808,1.8738275485299298
8,72,random,4.481429616218167,2.1387420367635603
8,74,random,4.599227973712342,2.069262959711287
8,76,random,4.960359708688089,1.9118668460249875
8,78,random,4.682755127038274,1.9822585992748436
8,80,random,4.750044606993241,1.9915004357322137
8,82,random,4.810941624609487,1.9275577477996972
8,84,random,4.958734877066953,1.8086380714455543
8,86,random,4.959970874254193,1.9133734932666269
8,88,random,4.612237587279774,2.1060365707401374
8,90,random,4.934956608717995,1.8614551801544823
8,92,random,4.852223518736677,2.0002834400616245
8,94,random,5.001334689335366,1.760879702913539
8,96,random,4.947940896568554,1.8704556620326884
8,98,random,4.620512256579739,2.123883717898799
8,100,random,5.037368043512106,1.7982514580795728
10,1,random,0.5216916527081256,0.5092181597595002
10,2,random,1.1357329622353427,0.8817418845888974
10,4,random,1.7361816760455258,1.1499597458116824
10,6,random,2.3927441123473856,1.4849359325167693
10,8,random,2.8379435233821693,1.605840311973179
10,10,random,3.0794623330168958,1.7841242919842035
10,12,random,3.084680927134755,1.9536809108440985
10,14,random,3.3806929102979066,2.022184641407747
10,16,random,3.6546084407876647,2.137689149348512
10,18,random,4.089987638441047,2.1982918348029488
10,20,random,4.234539731710351,2.080352895525792
10,22,random,4.48161174375963,2.3071217130099537
10,24,random,4.774724717661011,2.2455722389123722
10,26,random,4.645132809468945,2.5101880522960056
10,28,random,4.7179151782659545,2.522103148300646
10,30,random,4.835008037874941,2.468601694413437
10,32,random,5.09315356333474,2.507465449680715
10,34,random,4.77566781155632,2.777271345202494
10,36,random,5.247327710592321,2.479722971640054
10,38,random,5.407453669756651,2.573501936974553
10,40,random,5.736811053252646,2.417495449114692
