n_qubits,n_layers,family,sre_mean,sre_std
4,112,clifford,2.309724140167236,0.12963237204967523
4,114,clifford,2.293870290120443,0.17831174799649416
4,116,clifford,2.2590234597524006,0.09997910396363918
4,118,clifford,2.2437459150950114,0.15302630376639445
4,120,clifford,2.232974100112915,0.1422576924812829
4,122,clifford,2.232585612932841,0.14006276295959197
4,124,clifford,2.2573209126790363,0.0682614333887994
4,126,clifford,2.2634148438771566,0.10109050175436281
4,128,clifford,2.225351397196452,0.11130937587182213
4,130,clifford,2.269809357325236,0.09772775875612748
4,132,clifford,2.2759501775105795,0.11976418708601919
4,134,clifford,2.2753167311350504,0.1249223849112371
4,136,clifford,2.2523089408874513,0.12565666035021558
4,138,clifford,2.3129001299540204,0.0910605950952195
4,140,clifford,2.2335029443105063,0.11212192814117787
4,142,clifford,2.252425781885783,0.1338845515190133
4,144,clifford,2.30511417388916,0.08480624083745662
4,146,clifford,2.2381215413411457,0.12385893288630884
4,148,clifford,2.2353994687398275,0.09583233748307347
4,150,clifford,2.2571635405222574,0.10835841925293417
6,1,clifford,2.5627411900157824e-15,9.3786728160452e-16
6,2,clifford,0.0830075025558496,0.17184185604243649
6,4,clifford,0.8695631027221684,0.6062150593183054
6,6,clifford,1.3218876560529074,0.5930450227606652
6,8,clifford,1.5533361275990805,0.5650162807654537
6,10,clifford,1.9490452686945596,0.5903684622450005
6,12,clifford,1.8174597342809042,0.567940673633701
6,14,clifford,2.105401396751404,0.6104612584484695
6,16,clifford,2.7226696014404297,0.9725221374148566
6,18,clifford,2.888240694999695,0.5923712153201792
6,20,clifford,3.3010756015777587,0.6282413243721018
6,22,clifford,3.1969884316126507,0.6090752975250887
6,24,clifford,3.581024154027303,0.593080784231394
6,26,clifford,3.7943496227264406,0.23176597126251744
6,28,clifford,3.8150124390920004,0.2333271205800284
6,30,clifford,3.8994307200113933,0.22663617569509867
6,32,clifford,3.8276296774546306,0.3192964383728137
6,34,clifford,3.872286303838094,0.3996598139011046
6,36,clifford,3.9792055606842043,0.09642426288400802
6,38,clifford,4.0183980147043865,0.08318543125719688
6,40,clifford,4.018825197219849,0.09192017659970679
6,42,clifford,3.9177663485209147,0.269474848236326
6,44,clifford,4.0613169034322105,0.05296874156434491
6,46,clifford,4.054818455378214,0.07594565215937245
6,48,clifford,3.9828454812367755,0.2699564645793758
6,50,clifford,4.042838271458944,0.05180467983251215
6,52,clifford,4.045287036895752,0.057460326986624746
6,54,clifford,4.042613871892294,0.061908654450915895
6,56,clifford,4.074228509267171,0.03337014752835692
6,58,clifford,4.068876171112061,0.036423857131720846
6,60,clifford,4.0424905776977536,0.05577073824228689
6,62,clifford,4.05368644396464,0.05307071771488144
6,64,clifford,4.073045476277669,0.05248562410068951
6,66,clifford,4.061249828338623,0.03198282332288481
6,68,clifford,4.044986820220947,0.0425205570808262
6,70,clifford,4.067002010345459,0.03639842609812258
6,72,clifford,4.051557540893555,0.05581278202132011
6,74,clifford,4.036285527547201,0.04525726192691261
6,76,clifford,4.056224822998047,0.04964442547927976
6,78,clifford,4.046873792012533,0.07119217797848394
6,80,clifford,4.063247950871785,0.04664420139056431
6,82,clifford,4.065707000096639,0.05093687173297452
6,84,clifford,4.0692680199941,0.06423000163439178
6,86,clifford,4.0525003433227536,0.06617401842410973
6,88,clifford,4.084990851084391,0.05019076540522801
6,90,clifford,4.051512861251831,0.038848464991128165
6,92,clifford,4.06120195388794,0.05816747697543234
6,94,clifford,4.055758508046468,0.05317120667428635
6,96,clifford,4.062600374221802,0.04730265264057256
6,98,clifford,4.091858450571696,0.03302414736847795
6,100,clifford,4.067036437988281,0.046541544731379766
6,102,clifford,4.062671931584676,0.039206222258996615
6,104,clifford,4.079158020019531,0.04500815672369577
6,106,clifford,4.0602327187856035,0.05089919939981949
6,108,clifford,4.060599835713704,0.03974760428497507
6,110,clifford,4.067386929194132,0.04547498304690313
6,112,clifford,4.079288132985433,0.03412036358831946
