n_qubits,n_layers,family,sre_mean,sre_std,sre_min,sre_max
4,110,clifford,2.2280513286590575,0.10030452701275613,2.0271942615509033,2.3534772396087646
4,110,haar,2.2240862687428793,0.12561666745222053,1.9780688285827637,2.4212799072265625
4,110,quansistor,2.2525214592615765,0.12815662248692142,1.946541428565979,2.4521400928497314
4,110,random,2.2618715445200603,0.1014446023008536,2.0884838104248047,2.4274280071258545
4,112,clifford,2.309724140167236,0.12963237204967523,2.0238468647003174,2.538651704788208
4,112,haar,2.2212826649347943,0.16993753526267832,1.8744959831237793,2.4055023193359375
4,112,quansistor,2.274174944559733,0.06152032484885423,2.162971019744873,2.3702640533447266
4,112,random,2.2497990926106772,0.09412830317674926,2.0751523971557617,2.4103758335113525
4,114,clifford,2.293870290120443,0.17831174799649416,1.695361852645874,2.4078309535980225
4,114,haar,2.2890902360280356,0.08414974094315439,2.15444278717041,2.417123794555664
4,114,quansistor,2.261427148183187,0.12385329206212836,2.039546489715576,2.4506020545959473
4,114,random,2.2255687713623047,0.15225827143616016,1.9644500017166138,2.504241704940796
4,116,clifford,2.2590234597524006,0.09997910396363918,2.083879232406616,2.4459123611450195
4,116,haar,2.2042177597681682,0.13440805313214288,1.9354723691940308,2.4146106243133545
4,116,quansistor,2.2750354607899985,0.08557455695230562,2.105853319168091,2.477020025253296
4,116,random,2.272116486231486,0.12053677504665239,2.0473501682281494,2.4265828132629395
4,118,clifford,2.2437459150950114,0.15302630376639445,1.9300971031188965,2.4553568363189697
4,118,haar,2.2735997438430786,0.14882730844140282,1.9450476169586182,2.4151837825775146
4,118,quansistor,2.203829550743103,0.1138459475979829,1.9364932775497437,2.4027013778686523
4,118,random,2.236378272374471,0.11877509585285488,2.009974479675293,2.4504027366638184
4,120,clifford,2.232974100112915,0.1422576924812829,2.027459144592285,2.503918409347534
4,120,haar,2.2686119079589844,0.10384878764399941,2.0199480056762695,2.435981035232544
4,120,quansistor,2.2732979456583657,0.08122881785827962,2.100048303604126,2.4085304737091064
4,120,random,2.303117116292318,0.10541034667343294,2.0305495262145996,2.4416890144348145
4,122,clifford,2.232585612932841,0.14006276295959197,1.9321988821029663,2.480154037475586
